"","movie","point","review"
"74","전우치","10",""
"75","소년시절의 너","6","중국 영화만의 감수성이 있다 "
"76","반도","1","평점 이렇게 높은게 이해가 안돼서 1점 줍니다 영화는 2점 정도 수준입니다 "
"77","키싱 부스 2","5","남녀 비주얼 갭이 너무 큼 "
"78","봉오동 전투","10","정말 감사합니다 정말로 "
"79","강철비2: 정상회담","2","이런걸 영화라고 정우성 언제 이병연이나 현비 같은 연기력으로 연기하냐 "
"80","다만 악에서 구하소서","9","잼써요~~~ 올해 최고의 영화 "
"81","마스터","10","강동원 잘생겼다 그리고 엄지원 연기 너무 좋아 ㅜㅜ "
"82","셰이프 오브 워터: 사랑의 모양","10","최고예요 ㅜㅜ 생물을 죽이려 한 인간새끼 잘 죽었다 "
"83","다만 악에서 구하소서","10","황정민, 이정재 액션 지리고 박정민 연기 뒤집어지게 웃김 "
"84","다만 악에서 구하소서","2","보지마세요그돈으로냉삼사드세요 "
"85","공수도","10","저예산이고 뭐고간에 진짜 재밌게 잘봤습니다. 간만에 영화 시간 가는줄 모르고봤네요 ㅎㅎ "
"86","다만 악에서 구하소서","8","두분에 연기력은 10점 너무 좋습니다 다만 스토리는 평범하다고 해야할지 무난해서 8점 정도라 생각됩니다 "
"87","이웃집 토토로","10","너무 귀엽고 무해한 영화 "
"88","#살아있다","1","중간부터는 딴 생각하면서 봄 거의없다님이 이걸로 걸작선 해줬으면 좋겠다아.... "
"89","협상","4","사랑의 불시착 남한판 프로토 타입..? "
"90","블랙아웃 : 인베이젼 어스","10","생각보다 재밌어요 ㅎㅎ 극장에서 보면 돈 하나도 안 아까울듯 ㅎㅎㅎㅎ "
"91","블랙아웃 : 인베이젼 어스","10","생각보다 재밌어요 ㅎㅎ 극장에서 보면 돈 하나도 안 아까울듯 ㅎㅎㅎㅎ "
"92","나이브스 아웃","7",""
"93","다만 악에서 구하소서","10","원빈의 아저씨보다 황정민의 아버지다!!그리고 이정재의 연기와 목소리는 예술!!박정민의 변신은 뱃살의 디테일이 살아있드라~ "
"94","다만 악에서 구하소서","10","와 연기 진짜 너무 잘한다 "
"95","다만 악에서 구하소서","9","오래간만에 액션영화를 본 것 같네요 두 주연배우의 연기와  많은 조연배우들의 어우러진 호흡으로인해  시간가는줄 몰랏네요 "
"96","오피스","6","천장으로 어떻게 올렸을까 개연성 밥 말아먹었네 "
"97","다만 악에서 구하소서","8","여자 죽인애는 누구임???? 그애들은 못봣는뎅.. "
"98","다만 악에서 구하소서","8","한국판 테이큰. 천의 얼굴 박정민이 끝까지 여움에 남는다 "
"99","조디악","10","이게 8점대라는게 말이되나 "
"100","다만 악에서 구하소서","2","캐리어 광고인가, 파나마 관광청 광고인가...한국 영화에서 볼 수 있는 모든 신파와 클리셰를 감상할 수 있음. 더불어 난해한 카메라 무빙과 개연성 부재. "
"101","남산의 부장들","9","배우들 연기가 너무 훌륭하다... 마지막 선택이 김재규라는 사람을 잘 보여준 것 같다. 전머머리는 정말 언제봐도 역겹고 죽이고 싶어진다. "
"102","강철비2: 정상회담","10","올해 최고의 영화로 기억될 것 같아요. 적어도 제게는요 :) 감사합니다, 이런 좋은 영화 만들어주셔서요 ㅎㅎ "
"103","다만 악에서 구하소서","2","기대을 많이해서 그런지~~스토리도 없고감동도 없고, 잔인 액션만ㅜ "
"104","안개 속의 풍경","8","남매는 끝없이 안개가 걷힌 곳으로 향하는 중..나는 과연 안개속에 있는가, 밖에 있는가.. "
"105","다만 악에서 구하소서","10","이런 느와르를 보고싶었다 "
"106","사우스바운드 - 죽음의 고속도로","10","가려서 보는 편인데 이 정도면 볼만한거 같던데결말 잘 이해 안되는건 맞는데괴물도 신박하고 보는 내내 집중하게 만들어서 좋았는데네이버 평점 너무 짠듯 균형 맞춰서 5점 "
"107","강철비2: 정상회담","2","그래서 2탄 이런거는 보는게 아이다~~~ "
"108","다만 악에서 구하소서","10","다만 슘에게셔 구하소셔! "
"109","다만 악에서 구하소서","10","마지막에 태국 란 일당이랑 황정민 이정재가 한편 되어 싸웠어도 잼났을듯! 박정민이 악에서 구하는 주인공이네요!!! 황정민 이정재 두 사람은 믿보배 "
"110","강철비2: 정상회담","6","이영화의 주인공은 부함장아님?ㅋㅋ "
"111","애나벨","5","애나벨이 아니고 웃음벨 "
"112","강철비2: 정상회담","8","강철비2 오늘 보고 왔는데요곽도원과 정우성이 1과 2에서 역할이 극도로다르지만 그래도 스토리 전개도 괜찮았고배우들의 연기도 멋졌어요^^대통령분들 갑자기 북한 잠수함에끌려가서 잡히는 거에 대해 좀 더 합당하고구체적인 설명이 있었으면 좋았을거 같습니다총평은 전반적으로 좋았는데 좀 아쉬운부분이있었다. "
"113","반도","2","스토리가 너무 없었음 연기도 딱히 "
"114","스타워즈: 라이즈 오브 스카이워커","10","진짜 1편부터 쭉 보고 보면 가슴이 웅장해 지는듯 "
"115","다만 악에서 구하소서","9","영화에 대해 전문적으로 잘 모르지만 연출미 영상미가 너무 좋았던거 같아요 연기는 정말,,, 다시 한번 소름이 돋았구요 신세계때와는 전혀 다른... 총격씬에서 현실성이 떨어진다는데 영화에서 얼마나 큰 현실성을 원하는건지 모르겠지만... 오랜만에 영화관에 단비가 내린거 마냥 잘 보고왔어요!! "
"116","강철비2: 정상회담","10",""
"117","다만 악에서 구하소서","8","스토리는 식상하지만 박정민 연기 진짜 잘함... 다른사람인줄ㄷㄷ "
"118","다만 악에서 구하소서","10","이정도면 올해의 영화다 "
"119","다만 악에서 구하소서","10","역시 황정민간만에 스크린에서 보는 황정민은 역시 황정민이었다. "
"120","더 콜","10","넘 재밌다 지루하지 않고ㅎ 킬링타임으로 굿 "
"121","우리 생애 최고의 순간","1","이거 10점 준 사람들 극한알바도 10점 줬겠지.  개쓰1레기 억지 감동 연출 닭살 돋아서 보다 말았다. "
"122","다만 악에서 구하소서","10","연기자들의 눈빛하나하나 역시 찐이다. 박정민 연기에 또 놀랐다! "
"123","강철비2: 정상회담","1","걍 진짜 재미없음.. 안보는게 이득입니다 "
"124","다만 악에서 구하소서","9","박정민매력덩어리기 - 승 - 전 - 유이 "
"125","강철비2: 정상회담","10","허구지만 현대를 살아가는 대한민국 국민이라면 감정이입할 수 밖에 없어요.. "
"126","다만 악에서 구하소서","10",""
"127","메이즈 러너: 데스 큐어","10","가족들이랑  다같이 재밌게 봄 "
"128","다만 악에서 구하소서","1","뷔페식당 같이 이거저거 다 가져와서 그럴싸하게 보이기는해 근데 존~~~~나 맛없다! 끝! "
"129","다만 악에서 구하소서","10","코로나고 뭐고 1000만은 그냥 갈 영화 "
"130","다만 악에서 구하소서","10","박정민 연기 매우 좋아요. "
"131","찬실이는 복도 많지","10","찬실씨 당신은 멋진 사람이에요! 첨에 감탄사 난 풍경이 계속 되니 멋짐을 잊었을 뿐 개봉영화 중 최고 "
"132","다만 악에서 구하소서","7","신세계를 기대하며 본영화.너무기대가 컸나보다. 그닥 왕래도 없던 형의 복수를 위한 너무 무모한 복수설정. 현실성이 떨어지는 총격씬. 그냥 그냥 신세계처럼 큰 임팩트는 주지못한영화다 "
"133","나이브스 아웃","10","추천합니당~~^^!! "
"134","다만 악에서 구하소서","9","박정민이 진짜 히든카드고 결말은 맘에 안들지만 연출이 돋보이고 이정재 연기가 아주볼만합니당이번 배우들 다 연기가 출중해서 막 분위기 깨는거 없고 재밌어요 "
"135","결백","1","와 시간아깝다..영화관에서 안 보길 잘했다.. "
"136","위대한 개츠비","8",""
"137","퍼펙트맨","10","이런영화가 있었군요 설경구 나온 영화는 우선 평타 이상인 건 부인할 수 없어요 "
"138","어게인","8","뮤지컬영화라는 다소 독특한 장르의 영화입니다창의적인 연출력이 놀라움을 주기도 했지만뻔한 결말이 너무 아쉽습니다배우들의 음성은 너무 훌륭해서보는 내내 힐링 되었네요 "
"139","6 언더그라운드","10",""
"140","캡틴 필립스","10","대한민국아! 우리 자국민이 인질로 잡히면 너희는 저렇게 구출할수 있겠니?... "
"141","투모로우","10",""
"142","다만 악에서 구하소서","1","그냥 차라리 황정민 술먹방이나 찍어라 "
"143","다만 악에서 구하소서","6","각본이 많이 부실하고 개연성도 없다. 배우들의 노고가 보였을 뿐 "
"144","#살아있다","1","살아있다? 어이가없다! "
"145","강철비2: 정상회담","10","잠수함이 견뎌야 하는 심연의 수압과는 비교할 수 없는 주제와 스토리의 무게감이 있다. "
"146","다만 악에서 구하소서","10","걍 보셈 요새 나온 영화 중 최고 "
"147","다만 악에서 구하소서","10","두 주연은 말 할 것도 없고 박정민의 천의 얼굴 같은 연기는 어색하지 않았습니다. "
"148","다만 악에서 구하소서","10","오랜만에 잘 만든 영화 봤네요.반도처럼 너무 진부하지 않고 강철비처럼 정치적이지 않아 좋네요. "
"149","다만 악에서 구하소서","9","느와르장르 감안하면 빠른전개 영상 스토리도 좋아요 "
"150","러브 네버 다이","8","줄거리 빼고 완벽한데 줄거리가 심각함.. 이거 시나리오 쓴 사람 원작 안 본 듯. 어떻게 All I ask of you 부르던 연인을 저렇게 만들어 "
"151","회사원","6","아직 회사를 안다녀봐서 공감이 안 되는 부분이 있는 것 같다.. 취직하고 다시 보면 평점 달라질수도..? "
"152","애니멀 크래커","10","애들이랑 보기 최악이요! 선정적이고 폭력적인대사하며 ost에 퀸의 19금 노래는 왜 놓은건가요? 가슴에서 대놓고 물건을 꺼내질않나 아무리 애니메이션이니 웃음포인트로 넘기려했으나 멍청이 멍텅구리 똘마니?까지 더빙으로 이게 실화임? 진짜 어처구니없음 별점하나도 아까운데 이걸 안주면 등록이 안되서 일단 남기고 별점 많이줘야 상단에 노출되서 만점드림 보지마세요! "
"153","강철비2: 정상회담","1","이승환이 투자하고 통수 맞은 영화 ㅋ "
"154","다만 악에서 구하소서","8","오랜만에 재미있는 한국 액션 영화를 본 것 같네요. 두 정민 배우님들의 연기와 이정재님의 아우라 멋집니다! "
"155","다만 악에서 구하소서","10",""
"156","다만 악에서 구하소서","10",""
"157","침입자","4","내용이 나중에 산으로 가는..좀 실망스러운 영화.. "
"158","키싱 부스 2","9",""
"159","다만 악에서 구하소서","10","스토리는 그냥 그런 스토리지만 영화 영상이나 사운드, 특히 배우 연기에 극한의 연출로 믿고보는 감독과 배우의 작품 "
"160","다만 악에서 구하소서","7","스토리는 매우뻔하지만 연기는 뻔하지않았다 작은 떨림까지 완벽한감정연기였다 "
"161","굿 윌 헌팅","10","It's not your fault is the killing point "
"162","다만 악에서 구하소서","10","황정민 연기 잘하네요!!! "
"163","다만 악에서 구하소서","2","코로나 때문에 광고를 더 많이 하는 것 같습니다. 기대감에 미치지 못하는 영화, 비슷한 캐릭터... 예고편이 제일 재밌었던 것 같음 "
"164","다만 악에서 구하소서","4","스토리가 ...빈약해요  배우님등 연기는 굳 "
"165","다만 악에서 구하소서","6","8세로 찍어놓고 15세로 낮춰서 편집하다보니잔인한 장면 다 짜르고스토리 뚝뚝 끊기고뭔가 어정쩡해진 영화결론 : 성난황소에 수양대군 첨가 "
"166","다만 악에서 구하소서","10","정말 타격감 너무 훌륭하고 너무 재밌습니다 정말 배우캐스팅도 지립니다 정말 잘봤네요 "
"167","강철비2: 정상회담","10","재밌게봤어요. 잘 만들었습니다. 완성도가 높다고 생각합니다. "
"168","강철비2: 정상회담","1","잠이 오는 영화+문재인 찬양 느낌 "
"169","다만 악에서 구하소서","10","연기 미쳤음 진짜... 다들 봤으면 해서 이거 처음 써봐요 다들 극장가서 꼭 봐주세요 "
"170","다만 악에서 구하소서","10","박정민 배우  케스팅은 신의 한수, 박정민은 연기천재? 박정민 다음작품 기대기대. . . "
"171","강철비2: 정상회담","10","이번 개봉한영화  두편다 봤는데...폭렉적인거는 참 싫습니다...강철비  네이버에서 평가보고  별루인갑다  하고 기대안했는데...훨씬 볼만했어요...미국대통령  미국인스럽게 웃기는스탈이고...잠수함 운전아저씨  선장  운전 너무잘해주고  멋졌고...정우성씨  멋집니다~~~ "
"172","다만 악에서 구하소서","10",""
"173","강철비2: 정상회담","10","오랜만에 재미있게 봤네요 "
"174","다만 악에서 구하소서","1","어떻게 이렇게 평점이 높을 수 잇죠? 개연성 제로 연출 노답 배우들 연기가 아까운.. 그런영화 아저씨2인줄 "
"175","다만 악에서 구하소서","7","스타일""은"" 나지만 사실 스타일""도"" 나길 바랬었다 "
"176","다만 악에서 구하소서","5","배우들 연기나 액션씬은 볼만했는데 스토리가 영 부실해서 개인적으로는 실망한 영화...ㅜ "
"177","다만 악에서 구하소서","1","그냥 한마디로 쓰레기영화.황정민,이정재가 이런 영화에 출연하다니,,,,액션씬.빼고,내용은 허잡한 70년수준의 스토리에,요즘 조폭들 영화안나오던만,,이젠 무대를 동남아조폭으로 옮겼냐...시간 돈 아깝다!!! 집에서 네플릭스나.볼껄...별1개도 아깝다. "
"178","위대한 쇼맨","10","인생영화 등극했어요! 노래도좋고 자리에서 일어날뻔.. 스토리도 좋고 짱! "
"179","다만 악에서 구하소서","10","이정재 연기가 진짜 짱이드라 악역인데 섹시해 미쳐버림 "
"180","반도","10","아들들이랑 보고왔는데 보는 내내 몰입되어  놀라고 찡하기도 했습니다~  처음부터 끝까지 잼나게 보았어요~ "
"181","다만 악에서 구하소서","10","시간 순삭. 한 20분 쯤 지났나 했는데 영화가 끝나버림. 올해 지금까지 본 영화 중 최고! "
"182","다만 악에서 구하소서","10","지루할틈 없이 재밌게 보았습니다 "
"183","다만 악에서 구하소서","10","박정민 연기 넘 잘하는 거 아님 캬~당황하면 굵은 목소리로 형이라고 부르네ㅋ "
"184","다만 악에서 구하소서","9","반도로 상처받은 내 마음이 치유됬습니다. "
"185","어벤져스: 엔드게임","10","굿귯귯굿귯굿귯굿귯굿귯 "
"186","다만 악에서 구하소서","5","그닥 참신성이 부족한 스토리. 탄탄하지도 않고...액션이 멋있다길래 기대하고봤는데,액션씬 중간중간 슬로우모션을 조금씩 걸어 놓은 그게, 멋있게 연출된게 아니고 내게는 조금 오글거리게 느껴졌다. 화려한 액션씬이 그리 많은 것도 아니고...여튼 평점이 높길래 오랜만에 극장가로 향했는데 엄청 실망하고 나왔다. 영화 중반부에 자리에서 일어나 나올까 몇번을 고민했다. 정말 나만 별로였던건가...? "
"187","강철비2: 정상회담","2","토착빨갱이 라도출신 중졸 정우성이 뭘 안다고 정치발언이랍씨고 요즘 엄청 꼴깞 떠는대~문천지 더부러절라도인민강간당에 착 붙어서~여기에 4~5점 누른애들 장담하건대 백프로 토착빨갱이 라도쪽 댓글알바들~ "
"188","다만 악에서 구하소서","8","액션씬이 볼만했고  좀 살짝 지루했지만박정민 연기도 뭔가 새로웠고  이정재 연기와황정민 연기 볼만했음   다소 마지막이 좀 아쉬웠지만나쁘지않았음  그리고 아역으로 나온 여자아이너무 이쁨  웃는모습   박정민 같은 사람 방콕이나 동남아에 널렸다는걸 다시한번 더 느낌 ㅋ "
"189","다만 악에서 구하소서","9","올해 여름 추천영화에요!! 배우들 연기가 압권 이정재 지금까지 나온 영화 중 단연 최고인듯하고 역시 황정민!! 박정민 배우는 역시는 역시다 "
"190","다만 악에서 구하소서","10","배우들 긴장안하나요?황정민 연기할때 너무 신세계 같고이정재는 암살 캐릭터 같은 느낌나는게 저만그런건가요?그래도 너무 조아서 영화내내 시간아 가지마라 주문외웠습니다10점 만점에 11점 줍니다..ㅎㅎ "
"191","타이타닉 2","1",".22 다시 만들자 화이팅 "
"192","애니멀 크래커","1","와. 진짜 이렇게 돈 아까운 애니 간만이예요.산만하고, 스토리 뚝뚝 끊기고,촌스러워요. 내용도, 주인공도 모든게요.돈주고보기는 너무 아까움.딸아이가 너~~~무 심심해해서 TV틀고 만화채널 돌리는데애니멀크래커가 한다고 해도 바로 채널 돌릴거예요.그런 애니임.OST도 이상해요.중간중간 다른 애니가 보여요.마다가스카도 보였다가 라이언킹도 보였다가 착잡합니다. "
"193","야구소녀","10","멋진영화. 가슴이 벅차오르는 영화입니다. "
"194","미드소마","2","이거보다 돌발성난청이 왔습니다.평소에 여자비명 아기 울음소리 싫으면 비추 "
"195","다만 악에서 구하소서","10","짱잼진짜 굿굿정말 황정민 이정재 박정민 연기는 탑이다 "
"196","강철비2: 정상회담","1","좌파정권 지긋지긋하다 반미친북 "
"197","다만 악에서 구하소서","5","황정민, 이정재를 가지고 이따위 작품이 나오다니...랍스타, 트러플을 넣어 끓인 라면 같은 영화.딱 하나 건진건 박정민의 연기력.줄거리 개연성이 하나도 없으며 관객 입장에서 설득당할 설명, 장치가 하나도 없었다. "
"198","감쪽같은 그녀","8","보면서 질질짰는데.... 평점이 별로 안좋군요나문희님과 수안이의 연기가 좋았어요 초등학교 애기들도 귀엽고요 볼만 한 영화 "
"199","다만 악에서 구하소서","8","한국판 테이큰?볼만합니다 "
"200","반도","5","C급 액션 영화로 생각하고 보시면 정신건강에 좋습니다 "
"201","용문비갑","4","옛날 촉산전 영화 CG 보다도 못한... "
"202","반도","1","신파때만 꼭 얌전해지는 좀비 떼들... 예상가는 결말.... 살아있다만큼 망한 한국좀비영화... 영화에 신파를 없애야하는 법안이라도 발의해야 할듯 "
"203","비치","10","개꿀잼이요~ "
"204","다만 악에서 구하소서","10","황정민 이정재 진짜 멋있음특히 이정재 쵝오 "
"205","애니멀 크래커","4","지루해요 ㅡㅜ 아이도 재미없어서 계속 언제끝나냐고 묻고 차라리 ㅃㄹㄹ가 나은듯요. "
"206","모노노케 히메","10",""
